promotion_id,employee_id,promotion_date,previous_title,new_title,notes
320,145,2022-05-17,Master of Charms,Junior Spell Crafter,Rapid learning of advanced charms
321,145,2021-05-31,Junior Spell Crafter,Master of Charms,Recognized leadership in enchanted teams
322,311,2025-01-02,Potions Intern,Senior Enchanter,Successfully led magical creature relocation
323,407,2024-01-27,Master of Charms,Magical HR Specialist,Promoted for excellence in spellcasting
324,621,2023-10-31,Senior Enchanter,Magical HR Specialist,Appointed by Ministry liaison
325,340,2021-02-05,Junior Spell Crafter,Potions Intern,Mentored multiple junior wizards
326,182,2021-10-28,Potions Intern,Wand Safety Officer,Published advanced spell theory in Journal of Arcane Arts
327,791,2021-05-21,Master of Charms,Magical HR Specialist,Mentored multiple junior wizards
328,563,2024-09-25,Master of Charms,Senior Enchanter,Mentored multiple junior wizards
329,563,2020-11-29,Senior Enchanter,Potions Intern,Successfully led magical creature relocation
330,249,2023-04-17,Potions Intern,Magical HR Specialist,Rapid learning of advanced charms
331,249,2021-12-19,Magical HR Specialist,Potions Intern,Promoted for excellence in spellcasting
332,110,2024-01-23,Master of Charms,Potions Intern,Promoted for excellence in spellcasting
333,520,2024-09-25,Senior Enchanter,Master of Charms,Recognized leadership in enchanted teams
334,520,2020-12-23,Master of Charms,Wand Safety Officer,Outstanding potion innovation
335,520,2020-04-11,Wand Safety Officer,Junior Spell Crafter,Outstanding potion innovation
336,141,2021-07-08,Master of Charms,Senior Enchanter,Mentored multiple junior wizards
337,141,2022-10-04,Senior Enchanter,Junior Spell Crafter,Rapid learning of advanced charms
338,372,2024-01-12,Potions Intern,Master of Charms,Outstanding potion innovation
339,372,2024-01-21,Master of Charms,Potions Intern,Outstanding potion innovation
340,372,2024-01-02,Potions Intern,Junior Spell Crafter,Rapid learning of advanced charms
341,374,2021-04-04,Senior Enchanter,Magical HR Specialist,Successfully led magical creature relocation
342,444,2020-08-03,Wand Safety Officer,Master of Charms,Successfully led magical creature relocation
343,444,2023-06-15,Master of Charms,Magical HR Specialist,Promoted for excellence in spellcasting
344,444,2021-12-22,Magical HR Specialist,Wand Safety Officer,Promoted for excellence in spellcasting
345,735,2023-06-17,Senior Enchanter,Junior Spell Crafter,Recognized leadership in enchanted teams
346,95,2025-03-09,Magical HR Specialist,Potions Intern,Outstanding potion innovation
347,95,2021-08-08,Potions Intern,Magical HR Specialist,Recognized leadership in enchanted teams
348,579,2021-02-14,Master of Charms,Senior Enchanter,Recognized leadership in enchanted teams
349,579,2021-05-13,Senior Enchanter,Wand Safety Officer,Outstanding potion innovation
350,195,2020-07-23,Potions Intern,Magical HR Specialist,Outstanding potion innovation
351,420,2022-06-02,Wand Safety Officer,Magical HR Specialist,Published advanced spell theory in Journal of Arcane Arts
352,420,2024-02-10,Magical HR Specialist,Wand Safety Officer,Mentored multiple junior wizards
353,420,2024-09-01,Wand Safety Officer,Potions Intern,Recognized leadership in enchanted teams
354,212,2024-02-26,Magical HR Specialist,Junior Spell Crafter,Published advanced spell theory in Journal of Arcane Arts
355,212,2024-03-23,Junior Spell Crafter,Master of Charms,Promoted for excellence in spellcasting
356,212,2024-06-24,Master of Charms,Potions Intern,Outstanding potion innovation
357,750,2022-08-31,Junior Spell Crafter,Wand Safety Officer,Promoted for excellence in spellcasting
358,750,2024-05-13,Wand Safety Officer,Junior Spell Crafter,Successfully led magical creature relocation
359,228,2020-09-15,Potions Intern,Magical HR Specialist,Published advanced spell theory in Journal of Arcane Arts
360,228,2024-11-23,Magical HR Specialist,Wand Safety Officer,Appointed by Ministry liaison
361,13,2023-02-16,Senior Enchanter,Potions Intern,Published advanced spell theory in Journal of Arcane Arts
362,13,2023-07-29,Potions Intern,Master of Charms,Published advanced spell theory in Journal of Arcane Arts
363,13,2024-10-13,Master of Charms,Wand Safety Officer,Rapid learning of advanced charms
364,742,2024-03-06,Junior Spell Crafter,Magical HR Specialist,Promoted for excellence in spellcasting
365,742,2020-04-10,Magical HR Specialist,Wand Safety Officer,Mentored multiple junior wizards
366,742,2025-02-08,Wand Safety Officer,Potions Intern,Published advanced spell theory in Journal of Arcane Arts
367,104,2020-06-07,Potions Intern,Magical HR Specialist,Published advanced spell theory in Journal of Arcane Arts
368,104,2025-03-08,Magical HR Specialist,Potions Intern,Recognized leadership in enchanted teams
369,104,2024-11-07,Potions Intern,Junior Spell Crafter,Published advanced spell theory in Journal of Arcane Arts
370,356,2023-07-30,Magical HR Specialist,Junior Spell Crafter,Successfully led magical creature relocation
371,356,2020-05-20,Junior Spell Crafter,Master of Charms,Outstanding potion innovation
372,356,2021-12-02,Master of Charms,Magical HR Specialist,Recognized leadership in enchanted teams
373,762,2023-10-04,Potions Intern,Senior Enchanter,Rapid learning of advanced charms
374,762,2023-04-10,Senior Enchanter,Magical HR Specialist,Appointed by Ministry liaison
375,762,2020-12-15,Magical HR Specialist,Wand Safety Officer,Outstanding potion innovation
376,596,2022-05-12,Senior Enchanter,Master of Charms,Published advanced spell theory in Journal of Arcane Arts
377,722,2023-11-09,Potions Intern,Master of Charms,Outstanding potion innovation
378,148,2021-10-22,Master of Charms,Wand Safety Officer,Successfully led magical creature relocation
379,148,2023-05-09,Wand Safety Officer,Senior Enchanter,Rapid learning of advanced charms
380,148,2024-04-17,Senior Enchanter,Magical HR Specialist,Rapid learning of advanced charms
381,526,2023-12-02,Senior Enchanter,Potions Intern,Outstanding potion innovation
382,526,2025-02-17,Potions Intern,Wand Safety Officer,Rapid learning of advanced charms
383,702,2024-11-10,Magical HR Specialist,Master of Charms,Outstanding potion innovation
384,702,2020-12-27,Master of Charms,Junior Spell Crafter,Rapid learning of advanced charms
385,611,2021-08-31,Magical HR Specialist,Senior Enchanter,Appointed by Ministry liaison
386,611,2020-11-26,Senior Enchanter,Wand Safety Officer,Outstanding potion innovation
387,611,2022-01-26,Wand Safety Officer,Potions Intern,Promoted for excellence in spellcasting
388,63,2023-12-13,Potions Intern,Senior Enchanter,Outstanding potion innovation
389,614,2023-02-25,Wand Safety Officer,Potions Intern,Mentored multiple junior wizards
390,614,2023-03-11,Potions Intern,Master of Charms,Rapid learning of advanced charms
391,833,2021-01-10,Magical HR Specialist,Senior Enchanter,Published advanced spell theory in Journal of Arcane Arts
392,499,2021-06-16,Senior Enchanter,Master of Charms,Published advanced spell theory in Journal of Arcane Arts
393,968,2023-12-12,Master of Charms,Senior Enchanter,Outstanding potion innovation
394,968,2023-11-15,Senior Enchanter,Magical HR Specialist,Mentored multiple junior wizards
395,968,2023-02-10,Magical HR Specialist,Junior Spell Crafter,Mentored multiple junior wizards
396,777,2023-09-26,Magical HR Specialist,Junior Spell Crafter,Mentored multiple junior wizards
397,777,2023-01-07,Junior Spell Crafter,Potions Intern,Promoted for excellence in spellcasting
398,777,2022-06-28,Potions Intern,Junior Spell Crafter,Recognized leadership in enchanted teams
399,192,2023-05-18,Junior Spell Crafter,Master of Charms,Mentored multiple junior wizards
400,220,2023-01-09,Junior Spell Crafter,Senior Enchanter,Appointed by Ministry liaison
401,220,2021-05-14,Senior Enchanter,Magical HR Specialist,Rapid learning of advanced charms
402,220,2024-12-05,Magical HR Specialist,Wand Safety Officer,Mentored multiple junior wizards
403,802,2020-12-23,Master of Charms,Wand Safety Officer,Rapid learning of advanced charms
404,802,2022-01-21,Wand Safety Officer,Magical HR Specialist,Mentored multiple junior wizards
